## stdin
moduleName                     + offset   cost   jmp    instr  esp        ninstr taken                          - offset   nottaken                       - offset  
edi: 00000000 esi: 00000000 ebp: 00000000 esp: F5B9C228 ebx: 00000000 edx: 00000000 ecx: 00000000 eax: 00000000 eflags: 00000000 
libc-2.23.so                   + 000690F0 (   3) (   0) (   1) (F5B9C100) (   3) libc-2.23.so                   + 000690C1 ???                            + 00000000
libc-2.23.so                   + 000690C1 (   4) (   0) (   2) (F5B9C100) (   4) libc-2.23.so                   + 000690DA libc-2.23.so                   + 000690CB
libc-2.23.so                   + 000690DA (   6) (   0) (   0) (F5B9C120) (   6) ???                            + 00000000 ???                            + 00000000
libc-2.23.so                   + 000683E4 (   5) (   0) (   2) (F5B9C130) (   5) libc-2.23.so                   + 000683F6 libc-2.23.so                   + 000683F1
libc-2.23.so                   + 000683F1 (   2) (   0) (   2) (F5B9C130) (   2) libc-2.23.so                   + 00068470 libc-2.23.so                   + 000683F6
libc-2.23.so                   + 000683F6 (   9) (   0) (   2) (F5B9C130) (   9) libc-2.23.so                   + 00068460 libc-2.23.so                   + 0006840F
libc-2.23.so                   + 00068460 (   2) (   0) (   2) (F5B9C130) (   2) libc-2.23.so                   + 00068412 libc-2.23.so                   + 00068468
libc-2.23.so                   + 00068412 (   7) (   0) (   0) (F5B9C150) (   7) ???                            + 00000000 ???                            + 00000000
libc-2.23.so                   + 0006A12D (   7) (   0) (   0) (F5B9C160) (   7) ???                            + 00000000 ???                            + 00000000
libc-2.23.so                   + 0006A47B (   3) (   0) (   2) (F5B9C170) (   3) libc-2.23.so                   + 0006A3FF libc-2.23.so                   + 0006A487
libc-2.23.so                   + 0006A3FF (   6) (   0) (   0) (F5B9C180) (   6) ???                            + 00000000 ???                            + 00000000
libc-2.23.so                   + 0006AE12 (   4) (   0) (   0) (F5B9C1A0) (   4) ???                            + 00000000 ???                            + 00000000
libc-2.23.so                   + 0005FDFB (   3) (   0) (   2) (F5B9C1B0) (   3) libc-2.23.so                   + 0005FD82 libc-2.23.so                   + 0005FE07
libc-2.23.so                   + 0005FD82 (   6) (   0) (   2) (F5B9C1B0) (   6) libc-2.23.so                   + 0005FDB8 libc-2.23.so                   + 0005FD98
libc-2.23.so                   + 0005FDB8 (   4) (   0) (   2) (F5B9C1B0) (   4) libc-2.23.so                   + 0005FD98 libc-2.23.so                   + 0005FDC4
libc-2.23.so                   + 0005FDC4 (   3) (   0) (   2) (F5B9C1B0) (   3) libc-2.23.so                   + 0005FDD6 libc-2.23.so                   + 0005FDD5
libc-2.23.so                   + 0005FDD5 (   2) (   0) (   2) (F5B9C1B0) (   2) libc-2.23.so                   + 0005FDE2 libc-2.23.so                   + 0005FDDB
libc-2.23.so                   + 0005FDE2 (   7) (   0) (   0) (F5B9C1E0) (   7) ???                            + 00000000 ???                            + 00000000
libfmi.so                      + 00000BBB (   6) (   0) (   3) (F5B9C1DC) (   6) libfmi.so                      + 00000ABC ???                            + 00000000
libfmi.so                      + 00000ABC (   7) (   0) (   2) (F5B9C1D4) (   7) libfmi.so                      + 00000ADA libfmi.so                      + 00000ACE
libfmi.so                      + 00000ACE (   2) (   0) (   2) (F5B9C1D4) (   2) libfmi.so                      + 00000ADA libfmi.so                      + 00000AD4
libfmi.so                      + 00000AD4 (   2) (   0) (   2) (F5B9C1D4) (   2) libfmi.so                      + 00000AE1 libfmi.so                      + 00000ADA
libfmi.so                      + 00000AE1 (   3) (   0) (   0) (F5B9C1E0) (   3) ???                            + 00000000 ???                            + 00000000
libfmi.so                      + 00000BCD (   3) (   0) (   2) (F5B9C1F0) (   3) libfmi.so                      + 00000BE5 libfmi.so                      + 00000BD5
libfmi.so                      + 00000BE5 (   3) (   0) (   3) (F5B9C1DC) (   3) libfmi.so                      + 00000A5C ???                            + 00000000
libfmi.so                      + 00000A5C (   4) (   0) (   2) (F5B9C1D8) (   4) libfmi.so                      + 00000A72 libfmi.so                      + 00000A65
libfmi.so                      + 00000A65 (   2) (   0) (   2) (F5B9C1D8) (   2) libfmi.so                      + 00000A72 libfmi.so                      + 00000A6B
libfmi.so                      + 00000A6B (   2) (   0) (   1) (F5B9C1D8) (   2) libfmi.so                      + 00000A77 ???                            + 00000000
libfmi.so                      + 00000A77 (   2) (   0) (   0) (F5B9C1E0) (   2) ???                            + 00000000 ???                            + 00000000
libfmi.so                      + 00000BF0 (   3) (   0) (   2) (F5B9C1F0) (   3) libfmi.so                      + 00000C09 libfmi.so                      + 00000BF7
libfmi.so                      + 00000C09 (   5) (   0) (   3) (F5B9C1DC) (   5) libfmi.so                      + 00000ABC ???                            + 00000000
libfmi.so                      + 00000ABC (   7) (   0) (   2) (F5B9C1D4) (   7) libfmi.so                      + 00000ADA libfmi.so                      + 00000ACE
libfmi.so                      + 00000ACE (   2) (   0) (   2) (F5B9C1D4) (   2) libfmi.so                      + 00000ADA libfmi.so                      + 00000AD4
libfmi.so                      + 00000AD4 (   2) (   0) (   2) (F5B9C1D4) (   2) libfmi.so                      + 00000AE1 libfmi.so                      + 00000ADA
libfmi.so                      + 00000AE1 (   3) (   0) (   0) (F5B9C1E0) (   3) ???                            + 00000000 ???                            + 00000000
libfmi.so                      + 00000C18 (   3) (   0) (   2) (F5B9C1F0) (   3) libfmi.so                      + 00000C43 libfmi.so                      + 00000C1F
libfmi.so                      + 00000C43 (   3) (   0) (   0) (F5B9C220) (   3) ???                            + 00000000 ???                            + 00000000
