## 
moduleName                     + offset   cost   jmp    instr  esp        ninstr taken                          - offset   nottaken                       - offset  
libfmi.so                      + 00000DAF (   5) (   0) (   3) (F689C22C) (   5) libfmi.so                      + 00000DA7 ???                            + 00000000
ld-2.23.so                     + 00008E39 (   9) (   0) (   2) (F689C028) (   9) ld-2.23.so                     + 00008E62 ld-2.23.so                     + 00008E58
ld-2.23.so                     + 00008E62 (   6) (   0) (   2) (F689C028) (   6) ld-2.23.so                     + 00008F43 ld-2.23.so                     + 00008E78
ld-2.23.so                     + 00008E78 (   3) (   0) (   2) (F689C028) (   3) ld-2.23.so                     + 00008F43 ld-2.23.so                     + 00008E86
ld-2.23.so                     + 00008E86 (   4) (   0) (   2) (F689C028) (   4) ld-2.23.so                     + 00008EAB ld-2.23.so                     + 00008E90
ld-2.23.so                     + 00008EAB (   4) (   0) (   2) (F689C028) (   4) ld-2.23.so                     + 00008F00 ld-2.23.so                     + 00008EB9
ld-2.23.so                     + 00008F00 (   2) (   0) (   2) (F689C028) (   2) ld-2.23.so                     + 00008EF5 ld-2.23.so                     + 00008F04
ld-2.23.so                     + 00008F04 (  10) (   0) (   2) (F689C028) (  10) ld-2.23.so                     + 00008EF5 ld-2.23.so                     + 00008F25
ld-2.23.so                     + 00008EF5 (   7) (   0) (   0) (F689C058) (   7) ???                            + 00000000 ???                            + 00000000
ld-2.23.so                     + 0000963D (   3) (   0) (   2) (F689C078) (   3) ld-2.23.so                     + 000099C1 ld-2.23.so                     + 00009648
ld-2.23.so                     + 000099C1 (   5) (   0) (   1) (F689C078) (   5) ld-2.23.so                     + 00009200 ???                            + 00000000
